Date (MM/DD/YYYY),NAV
08/12/2021,10
08/11/2021,10
08/10/2021,10
08/09/2021,10
08/06/2021,10
08/05/2021,10
08/04/2021,10
08/03/2021,10
08/02/2021,10
07/30/2021,10
07/29/2021,10
07/28/2021,10
07/27/2021,10
07/26/2021,10
07/23/2021,10
07/22/2021,10
07/20/2021,10
07/19/2021,10
07/16/2021,10
07/15/2021,10
07/14/2021,10
07/13/2021,10
07/12/2021,10
07/09/2021,10
07/08/2021,10
07/07/2021,10
07/06/2021,10
07/05/2021,10
07/02/2021,10
07/01/2021,10
06/30/2021,10
06/29/2021,10
06/28/2021,10
06/25/2021,10
06/24/2021,10
06/23/2021,10
06/22/2021,10
06/21/2021,10
06/18/2021,10
06/17/2021,10
06/16/2021,10
06/15/2021,10
06/14/2021,10
06/11/2021,10
06/10/2021,10
06/09/2021,10
06/08/2021,10
06/07/2021,10
06/04/2021,10
06/03/2021,10
06/02/2021,10
06/01/2021,10
05/31/2021,10
05/28/2021,10
05/27/2021,10
05/25/2021,10
05/24/2021,10
05/21/2021,10
05/20/2021,10
05/19/2021,10
05/18/2021,10
05/17/2021,10
05/14/2021,10
05/12/2021,10
05/11/2021,10
05/10/2021,10
05/07/2021,10
05/06/2021,10
05/05/2021,10
05/04/2021,10
05/03/2021,10
04/30/2021,10
04/29/2021,10
04/28/2021,10
04/27/2021,10
04/26/2021,10
04/23/2021,10
04/22/2021,10
04/20/2021,10
04/19/2021,10
04/16/2021,10
04/15/2021,10
04/12/2021,10
04/09/2021,10
04/08/2021,10
04/06/2021,10
04/05/2021,10
03/31/2021,10
03/30/2021,10
03/26/2021,10
03/25/2021,10
03/24/2021,10
03/23/2021,10
03/22/2021,10
03/19/2021,10
03/18/2021,10
03/17/2021,10
03/16/2021,10
03/15/2021,10
03/12/2021,10
03/10/2021,10
03/09/2021,10
03/08/2021,10
03/05/2021,10
03/04/2021,10
03/03/2021,10
03/02/2021,10
03/01/2021,10
02/26/2021,10
02/25/2021,10
02/24/2021,10
02/23/2021,10
02/22/2021,10
02/18/2021,10
02/17/2021,10
02/16/2021,10
02/15/2021,10
02/12/2021,10
02/11/2021,10
02/10/2021,10
02/09/2021,10
02/08/2021,10
02/05/2021,10
02/04/2021,10
02/03/2021,10
02/02/2021,10
02/01/2021,10
01/29/2021,10
01/28/2021,10
01/27/2021,10
01/25/2021,10
01/22/2021,10
01/21/2021,10
01/20/2021,10
01/19/2021,10
01/18/2021,10
01/15/2021,10
01/14/2021,10
01/13/2021,10
01/12/2021,10
01/11/2021,10
01/07/2021,10
01/06/2021,10
01/05/2021,10
01/04/2021,10
01/01/2021,10
12/31/2020,10
12/30/2020,10
12/29/2020,10
12/28/2020,10
12/24/2020,10
12/23/2020,10
12/22/2020,10
12/21/2020,10
12/18/2020,10
12/17/2020,10
12/16/2020,10
12/15/2020,10
12/14/2020,10
12/11/2020,10
12/10/2020,10
12/09/2020,10
12/08/2020,10
12/07/2020,10
12/04/2020,10
12/03/2020,10
12/02/2020,10
12/01/2020,10
11/27/2020,10
11/26/2020,10
11/25/2020,10
11/24/2020,10
11/23/2020,10
11/20/2020,10
11/19/2020,10
11/18/2020,10
11/17/2020,10
11/13/2020,10
11/12/2020,10
11/11/2020,10
11/10/2020,10
11/09/2020,10
11/06/2020,10
11/05/2020,10
11/04/2020,10
11/02/2020,10
10/29/2020,10
10/28/2020,10
10/27/2020,10
10/26/2020,10
10/23/2020,10
10/22/2020,10
10/21/2020,10
10/20/2020,10
10/19/2020,10
10/16/2020,10
10/15/2020,10
10/14/2020,10
10/13/2020,10
10/12/2020,10
10/09/2020,10
10/08/2020,10
10/07/2020,10
10/05/2020,10
09/30/2020,10
09/29/2020,10
09/28/2020,10
09/25/2020,10
09/24/2020,10
09/23/2020,10
09/22/2020,10
09/21/2020,10
09/18/2020,10
09/17/2020,10
09/16/2020,10
09/15/2020,10
09/14/2020,10
09/11/2020,10
09/10/2020,10
09/09/2020,10
09/08/2020,10
09/07/2020,10
09/04/2020,10
09/03/2020,10
09/02/2020,10
09/01/2020,10
08/31/2020,10
08/28/2020,10
08/26/2020,10
08/24/2020,10
08/21/2020,10
08/20/2020,10
08/19/2020,10
08/18/2020,10
08/17/2020,10
08/14/2020,10
08/13/2020,10
08/12/2020,10
08/11/2020,10
08/10/2020,10
08/07/2020,10
08/06/2020,10
08/05/2020,10
08/04/2020,10
08/03/2020,10
07/31/2020,10
07/30/2020,10
07/29/2020,10
07/28/2020,10
07/27/2020,10
07/24/2020,10
07/23/2020,10
07/22/2020,10
07/21/2020,10
07/20/2020,10
07/17/2020,10
07/16/2020,10
07/15/2020,10
07/14/2020,10
07/10/2020,10
07/09/2020,10
07/09/2020,10
07/06/2020,10
07/03/2020,10
07/02/2020,10
07/01/2020,10
06/30/2020,10
06/30/2020,10
06/29/2020,10
06/26/2020,10
06/25/2020,10
06/24/2020,10
06/24/2020,10
06/22/2020,10
06/19/2020,10
06/18/2020,10
06/17/2020,10
06/16/2020,10
06/15/2020,10
06/12/2020,10
06/11/2020,10
06/10/2020,10
06/09/2020,10
06/08/2020,10
06/07/2020,10
06/05/2020,10
06/04/2020,10
06/03/2020,10
06/02/2020,10
06/01/2020,10
05/29/2020,10
05/28/2020,10
05/27/2020,10
05/26/2020,10
05/22/2020,10
05/21/2020,10
05/20/2020,10
05/18/2020,10
05/18/2020,10
05/15/2020,10
05/14/2020,10
05/13/2020,10
05/13/2020,10
05/11/2020,10
05/08/2020,10
05/06/2020,10
05/05/2020,10
05/04/2020,10
04/30/2020,10
04/29/2020,10
04/28/2020,10
04/27/2020,10
04/24/2020,10
04/23/2020,10
04/22/2020,10
04/21/2020,10
04/20/2020,10
04/17/2020,10
04/16/2020,10
04/15/2020,10
04/13/2020,10
04/09/2020,10
04/08/2020,10
04/07/2020,10
04/03/2020,10
03/31/2020,10
03/30/2020,10
03/27/2020,10
03/26/2020,10
03/24/2020,10
03/23/2020,10
03/20/2020,10
03/19/2020,10
03/18/2020,10
03/17/2020,10
03/16/2020,10
03/13/2020,10
03/12/2020,10
03/11/2020,10
03/11/2020,10
03/06/2020,10
03/05/2020,10
03/04/2020,10
03/03/2020,10
03/02/2020,10
02/28/2020,10
02/27/2020,10
02/26/2020,10
02/25/2020,10
02/24/2020,10
02/20/2020,10
02/18/2020,10
02/17/2020,10
02/14/2020,10
02/13/2020,10
02/12/2020,10
02/11/2020,10
02/10/2020,10
02/07/2020,10
02/06/2020,10
02/05/2020,10
02/04/2020,10
02/03/2020,10
01/31/2020,10
01/30/2020,10
01/29/2020,10
01/28/2020,10
01/27/2020,10
01/24/2020,10
01/23/2020,10
01/22/2020,10
01/21/2020,10
01/20/2020,10
01/17/2020,10
01/16/2020,10
01/15/2020,10
01/14/2020,10
01/13/2020,10
01/10/2020,10
01/08/2020,10
01/07/2020,10
01/06/2020,10
01/03/2020,10
01/02/2020,10
01/01/2020,10
12/31/2019,10
12/30/2019,10
12/27/2019,10
12/26/2019,10
12/24/2019,10
12/23/2019,10
12/20/2019,10
12/19/2019,10
12/18/2019,10
12/17/2019,10
12/16/2019,10
12/13/2019,10
12/13/2019,10
12/11/2019,10
12/10/2019,10
12/10/2019,10
12/06/2019,10
12/05/2019,10
12/04/2019,10
12/03/2019,10
12/03/2019,10
11/29/2019,10
11/28/2019,10
11/27/2019,10
11/26/2019,10
11/25/2019,10
11/21/2019,10
11/21/2019,10
11/20/2019,10
11/19/2019,10
11/18/2019,10
11/15/2019,10
11/14/2019,10
11/13/2019,10
11/11/2019,10
11/08/2019,10
11/07/2019,10
11/06/2019,10
11/05/2019,10
11/04/2019,10
11/01/2019,10
10/31/2019,10
10/30/2019,10
10/29/2019,10
10/25/2019,10
10/24/2019,10
10/24/2019,10
10/22/2019,10
10/18/2019,10
10/17/2019,10
10/16/2019,10
10/15/2019,10
10/14/2019,10
10/11/2019,10
10/10/2019,10
10/09/2019,10
10/07/2019,10
10/07/2019,10
10/03/2019,10
10/01/2019,10
09/30/2019,10
09/27/2019,10
09/26/2019,10
09/25/2019,10
09/24/2019,10
09/23/2019,10
09/20/2019,10
09/19/2019,10
09/18/2019,10
09/17/2019,10
09/16/2019,10
09/13/2019,10
09/12/2019,10
09/11/2019,10
09/09/2019,10
09/06/2019,10
09/05/2019,10
09/04/2019,10
09/03/2019,10
08/30/2019,10
08/29/2019,10
08/28/2019,10
08/27/2019,10
08/26/2019,10
08/23/2019,10
08/22/2019,10
08/21/2019,10
08/20/2019,10
08/19/2019,10
08/16/2019,10
08/14/2019,10
08/13/2019,10
08/12/2019,10
08/08/2019,10
08/07/2019,10
08/06/2019,10
08/05/2019,10
08/02/2019,10
08/01/2019,10
07/31/2019,10
07/30/2019,10
07/29/2019,10
07/29/2019,10
07/26/2019,10
07/24/2019,10
07/23/2019,10
07/22/2019,10
07/19/2019,10
07/17/2019,10
07/16/2019,10
07/15/2019,10
07/12/2019,10
07/11/2019,10
07/10/2019,10
07/09/2019,10
07/08/2019,10
07/05/2019,10
07/04/2019,10
07/02/2019,10
07/01/2019,10
06/28/2019,10
06/27/2019,10
06/26/2019,10
06/25/2019,10
06/24/2019,10
06/21/2019,10
06/20/2019,10
06/19/2019,10
06/18/2019,10
06/17/2019,10
06/14/2019,10
06/13/2019,10
06/12/2019,10
06/11/2019,10
06/10/2019,10
06/07/2019,10
06/06/2019,10
06/04/2019,10
06/03/2019,10
05/31/2019,10
05/30/2019,10
05/29/2019,10
05/28/2019,10
05/27/2019,10
05/24/2019,10
05/23/2019,10
05/22/2019,10
05/21/2019,10
05/20/2019,10
05/17/2019,10
05/16/2019,10
05/15/2019,10
05/14/2019,10
05/13/2019,10
05/10/2019,10
05/09/2019,10
05/08/2019,10
05/07/2019,10
05/06/2019,10
05/06/2019,10
05/02/2019,10
04/30/2019,10
04/26/2019,10
04/25/2019,10
04/24/2019,10
04/23/2019,10
04/22/2019,10
04/18/2019,10
04/16/2019,10
04/15/2019,10
04/12/2019,10
04/11/2019,10
04/10/2019,10
04/09/2019,10
04/08/2019,10
04/05/2019,10
04/04/2019,10
04/03/2019,10
04/02/2019,10
03/31/2019,10
03/30/2019,10
03/29/2019,10
03/28/2019,10
03/27/2019,10
03/26/2019,10
03/25/2019,10
03/22/2019,10
03/20/2019,10
03/19/2019,10
03/18/2019,10
03/15/2019,10
03/14/2019,10
03/13/2019,10
03/12/2019,10
03/11/2019,10
03/08/2019,10
03/07/2019,10
03/06/2019,10
03/05/2019,10
03/01/2019,10
02/28/2019,10
02/27/2019,10
02/26/2019,10
02/25/2019,10
02/22/2019,10
02/21/2019,10
02/20/2019,10
02/18/2019,10
02/15/2019,10
02/14/2019,10
02/13/2019,10
02/12/2019,10
02/11/2019,10
02/08/2019,10
02/07/2019,10
02/06/2019,10
02/05/2019,10
02/04/2019,10
02/01/2019,10
01/31/2019,10
01/30/2019,10
01/29/2019,10
01/28/2019,10
01/25/2019,10
01/24/2019,10
01/23/2019,10
01/22/2019,10
01/21/2019,10
01/18/2019,10
01/17/2019,10
01/16/2019,10
01/15/2019,10
01/14/2019,10
01/14/2019,10
01/10/2019,10
01/09/2019,10
01/08/2019,10
01/07/2019,10
01/04/2019,10
01/04/2019,10
01/02/2019,10
01/01/2019,10
12/31/2018,10
12/28/2018,10
12/27/2018,10
12/26/2018,10
12/24/2018,10
12/21/2018,10
12/20/2018,10
12/19/2018,10
12/18/2018,10
12/17/2018,10
12/14/2018,10
12/13/2018,10
12/12/2018,10
12/11/2018,10
12/10/2018,10
12/07/2018,10
12/06/2018,10
12/05/2018,10
12/04/2018,10
12/03/2018,10
11/30/2018,10
11/29/2018,10
11/28/2018,10
11/27/2018,10
11/26/2018,10
11/22/2018,10
11/20/2018,10
11/19/2018,10
11/16/2018,10
11/15/2018,10
11/14/2018,10
11/13/2018,10
11/12/2018,10
11/09/2018,10
11/06/2018,10
11/05/2018,10
11/02/2018,10
11/01/2018,10
10/31/2018,10
10/30/2018,10
10/29/2018,10
10/26/2018,10
10/25/2018,10
10/24/2018,10
10/23/2018,10
10/22/2018,10
10/19/2018,10
10/17/2018,10
10/16/2018,10
10/15/2018,10
10/12/2018,10
10/11/2018,10
10/10/2018,10
10/09/2018,10
10/08/2018,10
10/05/2018,10
10/04/2018,10
10/03/2018,10
10/01/2018,10
09/28/2018,10
09/27/2018,10
09/25/2018,10
09/24/2018,10
09/21/2018,10
09/19/2018,10
09/18/2018,10
09/17/2018,10
09/14/2018,10
09/12/2018,10
09/11/2018,10
09/10/2018,10
09/07/2018,10
09/06/2018,10
09/05/2018,10
09/04/2018,10
09/03/2018,10
08/31/2018,10
