Date (MM/DD/YYYY),Net Asset Value (INR)
12/26/2023,10.0000
12/27/2023,10.0000
12/28/2023,10.0014
12/29/2023,10.0013
01/01/2024,10.0068
01/02/2024,10.0084
01/03/2024,10.0102
01/04/2024,10.0117
01/08/2024,10.0223
01/09/2024,10.0254
01/10/2024,10.0343
01/11/2024,10.0432
01/15/2024,10.0745
01/16/2024,10.0776
01/17/2024,10.0722
01/18/2024,10.0646
01/19/2024,10.0721
01/23/2024,10.0879
01/24/2024,10.0944
01/25/2024,10.1113
01/29/2024,10.1330
01/30/2024,10.1395
01/31/2024,10.1553
02/01/2024,10.2372
02/02/2024,10.2650
02/05/2024,10.2594
02/06/2024,10.2658
02/07/2024,10.2828
02/08/2024,10.2895
02/09/2024,10.2755
02/12/2024,10.2845
02/13/2024,10.2806
02/14/2024,10.2751
02/15/2024,10.3106
02/16/2024,10.3074
02/20/2024,10.3262
02/21/2024,10.3399
02/22/2024,10.3396
02/23/2024,10.3375
02/26/2024,10.3440
02/27/2024,10.3396
02/28/2024,10.3455
02/29/2024,10.3430
03/01/2024,10.3589
