Date (DD-MM-YYYY),NAV
10-08-2021,10
09-08-2021,10
06-08-2021,10
05-08-2021,10
04-08-2021,10
03-08-2021,10
02-08-2021,10
30-07-2021,10
29-07-2021,10
28-07-2021,10
27-07-2021,10
26-07-2021,10
23-07-2021,10
22-07-2021,10
20-07-2021,10
19-07-2021,10
16-07-2021,10
15-07-2021,10
14-07-2021,10
13-07-2021,10
12-07-2021,10
09-07-2021,10
08-07-2021,10
07-07-2021,10
06-07-2021,10
05-07-2021,10
02-07-2021,10
01-07-2021,10
30-06-2021,10
29-06-2021,10
29-06-2021,10
28-06-2021,10
25-06-2021,10
24-06-2021,10
23-06-2021,10
22-06-2021,10
21-06-2021,10
18-06-2021,10
17-06-2021,10
16-06-2021,10
15-06-2021,10
14-06-2021,10
11-06-2021,10
10-06-2021,10
09-06-2021,10
08-06-2021,10
07-06-2021,10
04-06-2021,10
03-06-2021,10
02-06-2021,10
01-06-2021,10
31-05-2021,10
28-05-2021,10
27-05-2021,10
25-05-2021,10
24-05-2021,10
21-05-2021,10
20-05-2021,10
19-05-2021,10
18-05-2021,10
17-05-2021,10
12-05-2021,10
11-05-2021,10
10-05-2021,10
07-05-2021,10
06-05-2021,10
05-05-2021,10
04-05-2021,10
03-05-2021,10
30-04-2021,10
29-04-2021,10
28-04-2021,10
27-04-2021,10
26-04-2021,10
23-04-2021,10
22-04-2021,10
20-04-2021,10
19-04-2021,10
19-04-2021,10
19-04-2021,10
16-04-2021,10
15-04-2021,10
09-04-2021,10
08-04-2021,10
07-04-2021,10
06-04-2021,10
05-04-2021,10
31-03-2021,10
30-03-2021,10
26-03-2021,10
25-03-2021,10
24-03-2021,10
23-03-2021,10
22-03-2021,10
19-03-2021,10
18-03-2021,10
17-03-2021,10
16-03-2021,10
15-03-2021,10
12-03-2021,10
10-03-2021,10
09-03-2021,10
08-03-2021,10
05-03-2021,10
04-03-2021,10
03-03-2021,10
02-03-2021,10
01-03-2021,10
26-02-2021,10
25-02-2021,10
24-02-2021,10
23-02-2021,10
22-02-2021,10
18-02-2021,10
17-02-2021,10
16-02-2021,10
15-02-2021,10
12-02-2021,10
11-02-2021,10
10-02-2021,10
09-02-2021,10
08-02-2021,10
05-02-2021,10
04-02-2021,10
03-02-2021,10
02-02-2021,10
01-02-2021,10
29-01-2021,10
28-01-2021,10
27-01-2021,10
25-01-2021,10
22-01-2021,10
21-01-2021,10
20-01-2021,10
19-01-2021,10
18-01-2021,10
15-01-2021,10
14-01-2021,10
13-01-2021,10
12-01-2021,10
11-01-2021,10
08-01-2021,10
07-01-2021,10
06-01-2021,10
05-01-2021,10
04-01-2021,10
01-01-2021,10
31-12-2020,10
30-12-2020,10
29-12-2020,10
28-12-2020,10
24-12-2020,10
23-12-2020,10
22-12-2020,10
21-12-2020,10
18-12-2020,10
17-12-2020,10
16-12-2020,10
15-12-2020,10
14-12-2020,10
11-12-2020,10
10-12-2020,10
09-12-2020,10
08-12-2020,10
07-12-2020,10
04-12-2020,10
03-12-2020,10
02-12-2020,10
01-12-2020,10
27-11-2020,10
26-11-2020,10
25-11-2020,10
25-11-2020,10
24-11-2020,10
24-11-2020,10
23-11-2020,10
20-11-2020,10
19-11-2020,10
18-11-2020,10
17-11-2020,10
13-11-2020,10
12-11-2020,10
11-11-2020,10
10-11-2020,10
09-11-2020,10
06-11-2020,10
05-11-2020,10
03-11-2020,10
02-11-2020,10
29-10-2020,10
28-10-2020,10
27-10-2020,10
26-10-2020,10
23-10-2020,10
22-10-2020,10
